id,label,volume,number,date,pages
nla.obj-518412197,,72,3743,1951-11-07,36
nla.obj-518412291,,72,3744,1951-11-14,36
nla.obj-518412572,,72,3745,1951-11-21,36
nla.obj-518412595,,72,3746,1951-11-28,36
nla.obj-518412740,,72,3747,1951-12-05,44
nla.obj-518435649,CHRISTMAS NUMBER,72,3748,1951-12-12,44
nla.obj-518435740,,72,3749,1951-12-19,28
nla.obj-518435812,,72,3750,1951-12-26,28
nla.obj-525289589,,73,3751,1952-01-02,28
nla.obj-525289609,,73,3752,1952-01-09,28
nla.obj-525289623,,73,3753,1952-01-16,28
nla.obj-536673445,,73,3754,1952-01-23,28
nla.obj-525289646,,73,3755,1952-01-30,28
nla.obj-525289667,,73,3756,1952-02-06,28
nla.obj-536691936,,73,3757,1952-02-13,28
nla.obj-525289680,,73,3758,1952-02-20,36
nla.obj-525289718,,73,3759,1952-02-27,28
nla.obj-525289739,,73,3760,1952-03-05,28
nla.obj-525289752,,73,3761,1952-03-12,36
nla.obj-525289771,,73,3762,1952-03-19,28
nla.obj-536940017,,73,3763,1952-03-26,36
nla.obj-525296662,,73,3764,1952-04-02,28
nla.obj-525296748,,73,3765,1952-04-09,36
nla.obj-525296785,,73,3766,1952-04-16,28
nla.obj-525296916,,73,3767,1952-04-23,28
nla.obj-525296950,,73,3768,1952-04-30,28
nla.obj-525296975,,73,3769,1952-05-07,28
nla.obj-525297109,,73,3770,1952-05-14,28
nla.obj-525297146,,73,3771,1952-05-21,28
nla.obj-525297167,,73,3772,1952-05-28,28
nla.obj-525297239,,73,3773,1952-06-04,28
nla.obj-525385566,,73,3774,1952-06-11,28
nla.obj-525385589,,73,3775,1952-06-18,28
nla.obj-525385609,,73,3776,1952-06-25,28
nla.obj-525385623,,73,3777,1952-07-02,28
nla.obj-525385646,,73,3778,1952-07-09,28
nla.obj-525385667,,73,3779,1952-07-16,28
nla.obj-525385680,,73,3780,1952-07-23,28
nla.obj-525385705,,73,3781,1952-07-30,28
nla.obj-525385726,,73,3782,1952-08-06,28
nla.obj-525385747,,73,3783,1952-08-13,28
nla.obj-525399747,,73,3784,1952-08-20,28
nla.obj-525399879,,73,3785,1952-08-27,28
nla.obj-525399912,,73,3786,1952-09-03,28
nla.obj-525399936,,73,3787,1952-09-10,28
nla.obj-525400066,,73,3788,1952-09-17,28
nla.obj-525400106,,73,3789,1952-09-24,36
nla.obj-525400122,,73,3790,1952-10-01,36
nla.obj-525400258,,73,3791,1952-10-08,36
nla.obj-525400296,,73,3792,1952-10-15,36
nla.obj-525400314,,73,3793,1952-10-22,36
nla.obj-525619617,,73,3794,1952-10-29,36
nla.obj-525619861,,73,3795,1952-11-05,44
nla.obj-525620083,,73,3796,1952-11-12,36
nla.obj-525620155,,73,3797,1952-11-19,36
nla.obj-525620459,,73,3798,1952-11-26,36
nla.obj-525620923,,73,3799,1952-12-03,36
nla.obj-525620946,CHRISTMAS NUMBER,73,3800,1952-12-10,44
nla.obj-525621185,,73,3801,1952-12-17,36
nla.obj-525621383,,73,3802,1952-12-24,36
nla.obj-525621966,,73,3803,1952-12-31,36
nla.obj-536940074,,74,3804,1953-01-07,36
nla.obj-526714238,,74,3805,1953-01-14,36
nla.obj-526714251,,74,3806,1953-01-21,36
nla.obj-526714272,,74,3807,1953-01-28,36
nla.obj-526714295,,74,3808,1953-02-04,36
nla.obj-526714378,,74,3809,1953-02-11,36
nla.obj-526714393,,74,3810,1953-02-18,36
nla.obj-536949691,,74,3811,1953-02-25,36
nla.obj-526714411,,74,3812,1953-03-04,36
nla.obj-526714433,,74,3813,1953-03-11,36
nla.obj-526714454,,74,3814,1953-03-18,36
nla.obj-526714479,,74,3815,1953-03-25,36
nla.obj-526728830,,74,3816,1953-04-01,44
nla.obj-526728858,,74,3817,1953-04-08,36
nla.obj-526728874,,74,3818,1953-04-14,36
nla.obj-526728896,,74,3819,1953-04-22,36
nla.obj-526728911,,74,3820,1953-04-29,36
nla.obj-536949766,,74,3821,1953-05-06,36
nla.obj-526728933,,74,3822,1953-05-13,36
nla.obj-526728954,,74,3823,1953-05-20,36
