title,contributor,issued,format,fulltext_url,trove_url,trove_id,fulltext_url_type
A report on the Ombudsman's activities in monitoring controlled operations conducted by the National Crime Authority and Australian Federal Police / Commonwealth Ombudsman,Commonwealth Ombudsman (Australia),2002-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-666266177,https://trove.nla.gov.au/work/10430349,nla.obj-666266177,digitised
Tasxplorer : exploration release areas on offer / Mineral Resources Tasmania,Mineral Resources Tasmania,1997-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1838458284,https://trove.nla.gov.au/work/10437277,nla.obj-1838458284,edeposit
"Budget statements / circulated by ... Treasurer of the Commonwealth of Australia, and ... Minister for Finance for the information of honourable members on the occasion of the budget",Australia,1900-2021,"Periodical | Periodical/Journal, magazine, other | Government publication",https://nla.gov.au/nla.obj-1180532934,https://trove.nla.gov.au/work/10471702,nla.obj-1180532934,digitised
"Manila carnival recreation center commer : commercial and industrial fair February 7 to 15, 1925",Philippines Carnival Association,1925-2021,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2924303349,https://trove.nla.gov.au/work/10505336,nla.obj-2924303349,digitised
Social justice strategy,Australia,1994-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1791179814,https://trove.nla.gov.au/work/10557360,nla.obj-1791179814,digitised
Newsletter (Tuggerah Lakes Art Society : Online),Tuggerah Lakes Art Society,2000-2021,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2903601479,https://trove.nla.gov.au/work/10587209,nla.obj-2903601479,edeposit
The New South Wales calendar and general post office directory,,1832-1837,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-385884993,https://trove.nla.gov.au/work/10613582,nla.obj-385884993,digitised
Report of the Board for the Protection of the Aborigines,Victoria. Board for the Protection of the Aborigines,1854-1925,"Government publication | Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-54119543,https://trove.nla.gov.au/work/10653589,nla.obj-54119543,digitised
RAS times (Online),Royal Agricultural Society of New South Wales,2003-2021,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-508813415,https://trove.nla.gov.au/work/10696905,nla.obj-508813415,edeposit
The Sydney protestant magazine,,1840-1841,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1393799271,https://trove.nla.gov.au/work/10753345,nla.obj-1393799271,digitised
The New South Wales school magazine of literature for our boys and girls,New South Wales. Department of Education,1950-1960,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-748141557,https://trove.nla.gov.au/work/10753694,nla.obj-748141557,digitised
"Village bell (Beaconsfield Upper, Vic. : Online)",Upper Beaconsfield  Association,1978-2021,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-447025601,https://trove.nla.gov.au/work/10779712,nla.obj-447025601,edeposit
LEAD action news (Online),"Lead Group (Sydney, N.S.W.)",1993-2021,"Periodical | Periodical/Journal, magazine, other | Archived website",https://nla.gov.au/nla.obj-311797282,https://trove.nla.gov.au/work/10786688,nla.obj-311797282,edeposit
Report on Marine Sciences and Technologies Grants for ... : grants approved and fellowships awarded / Marine Research Allocations Advisory Committee,Australia. Marine Research Allocations Advisory Committee,1900-2021,"Periodical | Periodical/Journal, magazine, other | Government publication",https://nla.gov.au/nla.obj-1578779493,https://trove.nla.gov.au/work/10811941,nla.obj-1578779493,digitised
